feature,folds,count_min,missing_rate_max,mean_min,mean_max,std_mean,std_min,std_max,p50_min,p50_max,p95_min,p95_max,stage_ic_mean,stage_ic_min,stage_ic_max,stage_ic_std,stage_ic_positive_ratio_mean,mean_range,std_range,p50_range,p95_range,stage_ic_range,relative_mean_range,relative_p50_range,drift_score,importance_rank,gain_importance,gain_importance_pct,split_importance,split_importance_pct,stability_label,fold_1_stage_ic,fold_2_stage_ic,fold_3_stage_ic
mom_10d,3,6000,0.0,-0.0031675139181664568,0.027983307396619,0.07010697281144061,0.056719158743013136,0.07696405384042093,-0.0090206335367625,0.012537133268840449,0.09581632325505865,0.15642790784095148,0.005675575962107719,-0.08521168322734975,0.1054129633788847,0.07807339517261068,0.5166666666666667,0.031150821314785457,0.020244895097407796,0.021557766805602948,0.06061158458589283,0.19062464660623446,0.44433271135703184,0.30749818371529347,2.504328269277023,19,145.71162825077772,0.013825414496617162,174.0,0.0145,unstable,-0.0031745522652117985,0.1054129633788847,-0.08521168322734975
ret_10d,3,6000,0.0,-0.0031675139181664568,0.027983307396619,0.07010697281144061,0.056719158743013136,0.07696405384042093,-0.0090206335367625,0.012537133268840449,0.09581632325505865,0.15642790784095148,0.005675575962107719,-0.08521168322734975,0.1054129633788847,0.07807339517261068,0.5166666666666667,0.031150821314785457,0.020244895097407796,0.021557766805602948,0.06061158458589283,0.19062464660623446,0.44433271135703184,0.30749818371529347,2.504328269277023,3,813.7161696925759,0.07720703874942449,892.0,0.07433333333333333,unstable,-0.0031745522652117985,0.1054129633788847,-0.08521168322734975
range_pct,3,6000,0.0,0.024517937772662143,0.030685735293157376,0.019875119783996264,0.016379324930795996,0.022175275777471335,0.02049766655706105,0.0248506585276059,0.054676900068545795,0.07357549377200016,0.02751762598185996,-0.0658307062063195,0.09015164930566857,0.06728125238890369,0.5833333333333334,0.006167797520495233,0.005795950846675339,0.00435299197054485,0.01889859370345437,0.15598235551198808,0.3103275646746696,0.21901714392840668,1.979659691758754,4,782.1730859801173,0.0742141670612728,840.0,0.07,unstable,0.05823193484623081,0.09015164930566857,-0.0658307062063195
volume_price_divergence_5d,3,6000,0.0,-1.1842378929335003e-18,-8.881784197001253e-19,0.331049258152412,0.32507567495037976,0.33999154537418497,0.006666666666666651,0.01166666666666665,0.5233333333333333,0.56,0.0014579003993960167,-0.0552596240154513,0.08143764060925575,0.05818008566362199,0.5666666666666668,2.96059473233375e-19,0.014915870423805211,0.004999999999999999,0.036666666666666736,0.13669726462470705,8.943064089156717e-19,0.015103492537303748,1.3745243925157224,7,617.0451864525676,0.058546497409026343,773.0,0.06441666666666666,unstable,-0.0218043153956164,0.08143764060925575,-0.0552596240154513
close_to_low,3,6000,0.0,0.012056390859507805,0.014545854477030749,0.016319117747827475,0.013750771370729947,0.018282388345694664,0.00779473937368675,0.0085098596128181,0.037315114703366535,0.04929336919729207,0.007545659471014862,-0.04079573598968314,0.0732886238010466,0.04817275327091579,0.5666666666666667,0.0024894636175229433,0.004531616974964717,0.0007151202391313498,0.011978254493925533,0.11408435979072974,0.15254890955743064,0.043821011045939114,1.3153030129876977,9,572.9958217814565,0.05436700444609938,707.0,0.058916666666666666,unstable,-0.009855909398318877,0.0732886238010466,-0.04079573598968314
rel_cs_mean_close_to_ma_10d,3,6000,0.0,6.069219201284189e-18,1.1842378929335004e-17,0.03552872787594194,0.028264162942329748,0.0393031633261334,-0.0077876328733890495,-0.0031181511055475503,0.04879190934551324,0.06881233510663752,0.0028166623626261025,-0.04680622095692783,0.0758881255741853,0.05276269257652944,0.5333333333333333,5.7731597280508145e-18,0.011039000383803652,0.004669481767841499,0.020020425761124283,0.12269434653111314,1.6249272273543973e-16,0.13142834114451876,1.2926576358833908,5,768.1259989738464,0.07288135098706423,754.0,0.06283333333333334,unstable,-0.020631917529379158,0.0758881255741853,-0.04680622095692783
volume_change_5d,3,6000,0.0,0.0902188751569376,0.2824708590867664,0.7161154588889502,0.6881001815794202,0.7373588183355504,-0.0764788727828874,0.1122361143623255,1.290698216385243,1.5703010740159506,-0.012487767937208905,-0.04585761436966355,0.034819087994728014,0.034378896156796054,0.46666666666666673,0.19225198392982878,0.04925863675613018,0.1887149871452129,0.2796028576307077,0.08067670236439156,0.268465065993462,0.26352592281381526,1.2069950510442853,8,580.0406878218055,0.055035435608733425,743.0,0.06191666666666667,watch,-0.026424777436691183,-0.04585761436966355,0.034819087994728014
mom_5d,3,6000,0.0,0.0020494743453107317,0.01237144585316441,0.049597620176939895,0.040013346510091044,0.05465098336226515,-0.003108019995653,0.00320124606761145,0.07251674966150888,0.10767577638383603,-0.00889594713357701,-0.046210448724588286,0.04634537498326235,0.039855349253549555,0.5333333333333333,0.010321971507853678,0.014637636852174105,0.00630926606326445,0.03515902672232715,0.09255582370785063,0.20811424965193595,0.12720904835007982,1.1972770109054822,20,134.60214096307755,0.01277132383521153,134.0,0.011166666666666667,watch,-0.046210448724588286,0.04634537498326235,-0.02682276765940509
ret_5d,3,6000,0.0,0.0020494743453107317,0.01237144585316441,0.049597620176939895,0.040013346510091044,0.05465098336226515,-0.003108019995653,0.00320124606761145,0.07251674966150888,0.10767577638383603,-0.00889594713357701,-0.046210448724588286,0.04634537498326235,0.039855349253549555,0.5333333333333333,0.010321971507853678,0.014637636852174105,0.00630926606326445,0.03515902672232715,0.09255582370785063,0.20811424965193595,0.12720904835007982,1.1972770109054822,1,923.0486792549491,0.08758072876168402,863.0,0.07191666666666667,watch,-0.046210448724588286,0.04634537498326235,-0.02682276765940509
close_to_high,3,6000,0.0,-0.015499007580262007,-0.012075441120495675,0.01214275879920794,0.010217815077166754,0.013453779352131037,-0.01208155055068685,-0.009535304176305649,-0.0012689551124922648,-0.00093237920824143,-0.03198387523936825,-0.06696595504732322,0.013981243943964822,0.03394684689898435,0.39999999999999997,0.003423566459766332,0.003235964274964283,0.0025462463743812017,0.0003365759042508349,0.08094719899128805,0.28194305067705905,0.2096925761497954,1.1962613286648374,10,570.1620434895158,0.05409812982059476,686.0,0.057166666666666664,watch,-0.06696595504732322,-0.042966914614746346,0.013981243943964822
