feature,split_importance,gain_importance,gain_importance_pct,split_importance_pct,importance_rank,stage_ic_mean,stage_ic_std,stage_ic_min,stage_ic_max,stage_ic_range,fold_1_stage_ic,fold_2_stage_ic,fold_3_stage_ic
ret_5d,863.0,923.0486792549491,0.08758072876168402,0.07191666666666667,1,-0.00889594713357701,0.039855349253549555,-0.046210448724588286,0.04634537498326235,0.09255582370785063,-0.046210448724588286,0.04634537498326235,-0.02682276765940509
rel_hs300_mean_ret_5d,732.0,840.8347549214959,0.07978010505753265,0.061,2,-0.00889594713357701,0.039855349253549555,-0.046210448724588286,0.04634537498326235,0.09255582370785063,-0.046210448724588286,0.04634537498326235,-0.02682276765940509
ret_10d,892.0,813.7161696925759,0.07720703874942449,0.07433333333333333,3,0.005675575962107719,0.07807339517261068,-0.08521168322734975,0.1054129633788847,0.19062464660623446,-0.0031745522652117985,0.1054129633788847,-0.08521168322734975
range_pct,840.0,782.1730859801173,0.0742141670612728,0.07,4,0.02751762598185996,0.06728125238890369,-0.0658307062063195,0.09015164930566857,0.15598235551198808,0.05823193484623081,0.09015164930566857,-0.0658307062063195
rel_cs_mean_close_to_ma_10d,754.0,768.1259989738464,0.07288135098706423,0.06283333333333334,5,0.0028166623626261025,0.05276269257652944,-0.04680622095692783,0.0758881255741853,0.12269434653111314,-0.020631917529379158,0.0758881255741853,-0.04680622095692783
ret_3d,762.0,679.7971889153123,0.06450053453670875,0.0635,6,0.006854605025246544,0.021419026592810735,-0.02337467206783982,0.023644103296469172,0.04701877536430899,-0.02337467206783982,0.023644103296469172,0.02029438384711028
volume_price_divergence_5d,773.0,617.0451864525676,0.058546497409026343,0.06441666666666666,7,0.0014579003993960167,0.05818008566362199,-0.0552596240154513,0.08143764060925575,0.13669726462470705,-0.0218043153956164,0.08143764060925575,-0.0552596240154513
volume_change_5d,743.0,580.0406878218055,0.055035435608733425,0.06191666666666667,8,-0.012487767937208905,0.034378896156796054,-0.04585761436966355,0.034819087994728014,0.08067670236439156,-0.026424777436691183,-0.04585761436966355,0.034819087994728014
close_to_low,707.0,572.9958217814565,0.05436700444609938,0.058916666666666666,9,0.007545659471014862,0.04817275327091579,-0.04079573598968314,0.0732886238010466,0.11408435979072974,-0.009855909398318877,0.0732886238010466,-0.04079573598968314
close_to_high,686.0,570.1620434895158,0.05409812982059476,0.057166666666666664,10,-0.03198387523936825,0.03394684689898435,-0.06696595504732322,0.013981243943964822,0.08094719899128805,-0.06696595504732322,-0.042966914614746346,0.013981243943964822
ret_1d,648.0,536.2483703568578,0.05088033180549858,0.054,11,-0.008367208022811367,0.004777219711385608,-0.012263039726168077,-0.0016391652104114293,0.010623874515756648,-0.011199419131854594,-0.0016391652104114293,-0.012263039726168077
volume_ratio_10d,554.0,439.37939743697643,0.041689207400698064,0.04616666666666667,12,-0.007815291712918894,0.021764152101999737,-0.03428728788821648,0.01902006440920129,0.05330735229741777,-0.008178651659741491,-0.03428728788821648,0.01902006440920129
amount_change_1d,592.0,428.8465345352888,0.04068982802926416,0.04933333333333333,13,-0.010767666026916563,0.005043810561218573,-0.017897830355418025,-0.0070276411502883315,0.010870189205129693,-0.0070276411502883315,-0.017897830355418025,-0.007377526575043332
intraday_return,543.0,422.698695063591,0.04010650856481755,0.04525,14,-0.017608623800784397,0.015374716898888585,-0.035621747828023576,0.0019439517566312223,0.0375656995846548,-0.035621747828023576,0.0019439517566312223,-0.019148075330960843
volume_change_1d,471.0,373.7365183979273,0.03546087804661089,0.03925,15,-0.011123144219122146,0.004362131463611917,-0.017172523143064673,-0.007051531964071313,0.010120991178993361,-0.007051531964071313,-0.017172523143064673,-0.009145377550230451
amount_ratio_5d,421.0,320.5819165110588,0.03041746172966569,0.035083333333333334,16,-0.00977764142622816,0.018879703174302265,-0.029794317249382907,0.015533124549799885,0.04532744179918279,-0.015071731579101461,-0.029794317249382907,0.015533124549799885
turnover_spike_5d,348.0,303.94648161530495,0.028839057963773663,0.029,17,-0.010537110561941808,0.017473248692015008,-0.03123021710501183,0.011506371194343838,0.04273658829935567,-0.011887485775157431,-0.03123021710501183,0.011506371194343838
volume_ratio_5d,363.0,285.7126564383507,0.027108995689701855,0.03025,18,-0.011089410472572414,0.017478101828566576,-0.031781857006628667,0.010965487254915824,0.04274734426154449,-0.012451861666004403,-0.031781857006628667,0.010965487254915824
mom_10d,174.0,145.71162825077772,0.013825414496617162,0.0145,19,0.005675575962107719,0.07807339517261068,-0.08521168322734975,0.1054129633788847,0.19062464660623446,-0.0031745522652117985,0.1054129633788847,-0.08521168322734975
mom_5d,134.0,134.60214096307755,0.01277132383521153,0.011166666666666667,20,-0.00889594713357701,0.039855349253549555,-0.046210448724588286,0.04634537498326235,0.09255582370785063,-0.046210448724588286,0.04634537498326235,-0.02682276765940509
