rank,stable_alpha_score,composite_score,decision,risk_flags,aggressive_rank,robust_rank,candidate_id,candidate_label,source_kind,experiment_dir,source_file,rank_ic_mean,worst_fold,top5_mean_return,top5_return_min_by_fold,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,slice_score,single_slice_score,result_valid,result_validator_status,score_rank_ic,score_worst_fold,score_top5,score_return,score_sharpe,drawdown_penalty,turnover_penalty,slice_score_component,available_metric_count
1,0.6080892664629274,0.6080892664629274,adopt,通过硬性规则,1.0,1.0,a4c6c5341b,clipped_return__topk_weighted_rank,training_dir,app\model\label_variant_search\experiments\clipped_return__topk_weighted_rank,app\model\label_variant_search\experiments\clipped_return__topk_weighted_rank\metrics.csv;app\model\label_variant_search\experiments\clipped_return__topk_weighted_rank\walk_forward_metrics.csv;app\model\label_variant_search\experiments\clipped_return__topk_weighted_rank\fold_results.csv;app\model\label_variant_search\experiments\clipped_return__topk_weighted_rank\fold_diagnostics.csv,0.0215933125368034,0.0215933125368034,0.011344127911223,0.011344127911223,1.714516782614827,4.888188164376738,-0.0756019640688426,0.9531993441223612,,0.0254962417617401,,unknown,0.5519697539611579,0.917220414177196,0.3745636575700641,0.9975769218642876,1.0,0.2822606143039537,0.9094301219828371,0.826518489736487,9
2,0.6013538135466671,0.6013538135466671,adopt,通过硬性规则,2.0,2.0,7d6dc2c7fd,original_return__topk_weighted_rank,training_dir,app\model\label_variant_search\experiments\original_return__topk_weighted_rank,app\model\label_variant_search\experiments\original_return__topk_weighted_rank\metrics.csv;app\model\label_variant_search\experiments\original_return__topk_weighted_rank\walk_forward_metrics.csv;app\model\label_variant_search\experiments\original_return__topk_weighted_rank\fold_results.csv;app\model\label_variant_search\experiments\original_return__topk_weighted_rank\fold_diagnostics.csv,0.0215275808793144,0.0215275808793144,0.0120792371953978,0.0120792371953978,1.6801355221781522,4.790410660674304,-0.0868884572295216,0.9532160395824492,,0.0254962417617401,,unknown,0.5512813706270998,0.9166098024868055,0.39907846743508635,0.9761763679230152,0.9761256244540568,0.3551241280269578,0.9094636245783313,0.826518489736487,9
3,0.601347584986298,0.601347584986298,adopt,通过硬性规则,3.0,3.0,d1d1da34b6,residual_return__topk_weighted_rank,training_dir,app\model\label_variant_search\experiments\residual_return__topk_weighted_rank,app\model\label_variant_search\experiments\residual_return__topk_weighted_rank\metrics.csv;app\model\label_variant_search\experiments\residual_return__topk_weighted_rank\walk_forward_metrics.csv;app\model\label_variant_search\experiments\residual_return__topk_weighted_rank\fold_results.csv;app\model\label_variant_search\experiments\residual_return__topk_weighted_rank\fold_diagnostics.csv,0.0215250892963497,0.0215250892963497,0.0120792371953978,0.0120792371953978,1.6801355221781522,4.790410660674304,-0.0868884572295216,0.9532160395824492,,0.0254962417617401,,unknown,0.5512552772003729,0.9165866570232047,0.39907846743508635,0.9761763679230152,0.9761256244540568,0.3551241280269578,0.9094636245783313,0.826518489736487,9
4,0.533480395505927,0.533480395505927,adopt,通过硬性规则,4.0,4.0,aea86a26d7,topk30_gamma2_0,training_dir,app\model\topk_objective_search\models\topk30_gamma2_0,app\model\topk_objective_search\models\topk30_gamma2_0\metrics.csv;app\model\topk_objective_search\models\topk30_gamma2_0\walk_forward_metrics.csv;app\model\topk_objective_search\models\topk30_gamma2_0\fold_results.csv;app\model\topk_objective_search\models\topk30_gamma2_0\fold_diagnostics.csv,0.021527580879314404,-0.0515373855710935,0.012079237195397866,0.0018630425007974,1.6801355221781522,4.790410660674304,-0.0868884572295216,0.9532160395824492,,,,unknown,0.5512813706270998,0.23787562207939913,0.3990784674350885,0.9761763679230152,0.9761256244540568,0.3551241280269578,0.9094636245783313,0.0,8
5,0.5153237905800097,0.5153237905800097,reject,top5_return_min_by_fold <= 0，缺少合理解释; worst_fold_rank_ic 明显低于当前 sl20,,,b604dc9d94,topk20_gamma3_0,training_dir,app\model\topk_objective_search\models\topk20_gamma3_0,app\model\topk_objective_search\models\topk20_gamma3_0\metrics.csv;app\model\topk_objective_search\models\topk20_gamma3_0\walk_forward_metrics.csv;app\model\topk_objective_search\models\topk20_gamma3_0\fold_results.csv;app\model\topk_objective_search\models\topk20_gamma3_0\fold_diagnostics.csv,0.0265405567129082,-0.0537918196556243,0.007468784362350267,-0.0108297510160058,1.690345861731239,4.76948309244541,-0.0468223678871411,0.9400732940298896,,,,unknown,0.6037804121803936,0.21693314383046816,0.24532666885633567,0.9825317754790296,0.9710157310303046,0.09646486078915967,0.8830902221317767,0.0,8
6,0.4887278665878875,0.4887278665878875,reject,top5_return_min_by_fold <= 0，缺少合理解释,,,2bc38c911e,topk30_gamma3_0,training_dir,app\model\topk_objective_search\models\topk30_gamma3_0,app\model\topk_objective_search\models\topk30_gamma3_0\metrics.csv;app\model\topk_objective_search\models\topk30_gamma3_0\walk_forward_metrics.csv;app\model\topk_objective_search\models\topk30_gamma3_0\fold_results.csv;app\model\topk_objective_search\models\topk30_gamma3_0\fold_diagnostics.csv,0.0347062423636597,-0.0531458524991898,0.009186301284011133,-0.0058597577623586,1.4695552505304814,4.45713424252748,-0.0827181310464919,0.9402362656212772,,,,unknown,0.6892966174286062,0.2229338307505157,0.30260332374410404,0.8451010552344614,0.8947493766858698,0.3282012730054156,0.8834172554255303,0.0,8
7,0.48466607629630754,0.48466607629630754,reject,top5_return_min_by_fold <= 0，缺少合理解释; worst_fold_rank_ic 明显低于当前 sl20,,,c77cf39964,topk20_gamma5_0,training_dir,app\model\topk_objective_search\models\topk20_gamma5_0,app\model\topk_objective_search\models\topk20_gamma5_0\metrics.csv;app\model\topk_objective_search\models\topk20_gamma5_0\walk_forward_metrics.csv;app\model\topk_objective_search\models\topk20_gamma5_0\fold_results.csv;app\model\topk_objective_search\models\topk20_gamma5_0\fold_diagnostics.csv,0.03911378654009913,-0.0567157482012322,0.004066432602900834,-0.010972935574771,1.6877208263864962,4.588855137487886,-0.0790262137421738,0.9379226121189076,,,,unknown,0.7354551971919934,0.18977142267481686,0.13186325835070348,0.9808978269332401,0.9269117248176333,0.3043669372788351,0.878774472477641,0.0,8
8,0.4739139742468269,0.4739139742468269,adopt,通过硬性规则,5.0,14.0,fe8db47e6e,alpha_1.0_cap_none,summary_table,app\model\weight_blend_search,app\model\weight_blend_search\weight_blend_summary.csv,,,0.0299852640824287,,1.1712462279797915,4.019487965088474,-0.0900673064031069,0.956671403522694,,0.0299852640824287,True,pass,0.0,0.0,0.9962180411330275,0.6594191387723645,0.787889095044186,0.3756461907337196,0.9163974652610829,0.9957252941225957,6
9,0.4739139742468269,0.4739139742468269,adopt,通过硬性规则,6.0,15.0,4014d636f4,cap_0.25,summary_table,app\model\weight_cap_search,app\model\weight_cap_search\weight_cap_summary.csv,,,0.0299852640824287,,1.1712462279797915,4.019487965088474,-0.0900673064031069,0.956671403522694,,0.0299852640824287,True,pass,0.0,0.0,0.9962180411330275,0.6594191387723645,0.787889095044186,0.3756461907337196,0.9163974652610829,0.9957252941225957,6
10,0.4739139742468269,0.4739139742468269,adopt,通过硬性规则,7.0,16.0,005f853a39,cap_none,summary_table,app\model\weight_cap_search,app\model\weight_cap_search\weight_cap_summary.csv,,,0.0299852640824287,,1.1712462279797915,4.019487965088474,-0.0900673064031069,0.956671403522694,,0.0299852640824287,True,pass,0.0,0.0,0.9962180411330275,0.6594191387723645,0.787889095044186,0.3756461907337196,0.9163974652610829,0.9957252941225957,6
11,0.4736702064300364,0.4736702064300364,adopt,通过硬性规则,8.0,17.0,8d4b1b9bc1,alpha_0.75_cap_none,summary_table,app\model\weight_blend_search,app\model\weight_blend_search\weight_blend_summary.csv,,,0.0300136158531623,,1.1696427373511589,4.014977794182931,-0.0902893645421876,0.9565577225215884,,0.0300136158531623,True,pass,0.0,0.0,0.9971635308497723,0.6584210489043218,0.7867878446553132,0.3770797570358355,0.9161693428508381,0.9967939705919487,6
